"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1599725928","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1599725933","50","","Aggregated",15.33,0.00,270,420,570,640,870,940,1000,1100,1100,1100,1100,1100,67,0,270,376,54,1067,8576
"1599725938","50","","Aggregated",10.00,0.00,150,210,330,420,700,880,970,1000,1100,1100,1100,1100,111,0,150,261,51,1067,8733
"1599725943","50","","Aggregated",8.80,0.00,77,93,96,98,140,160,180,180,180,180,180,180,159,0,100,208,50,1067,8596
"1599725948","50","","Aggregated",10.30,0.00,74,84,93,97,140,150,180,180,180,180,180,180,213,0,94,176,49,1067,8584
"1599725953","50","","Aggregated",10.80,0.00,82,95,100,110,160,190,230,250,440,440,440,440,266,0,93,163,49,1067,8732
"1599725958","50","","Aggregated",10.80,0.00,80,97,110,110,180,210,250,290,440,440,440,440,322,0,86,150,49,1067,8703
"1599725963","50","","Aggregated",9.90,0.00,81,110,150,170,350,490,760,780,800,800,800,800,371,0,90,158,49,1067,8822
"1599725968","50","","Aggregated",8.60,0.00,310,490,740,780,1600,2100,2200,2200,2200,2200,2200,2200,415,0,96,236,49,2163,8947
"1599725973","50","","Aggregated",9.40,0.00,470,750,910,1200,1700,2100,2200,2200,2200,2200,2200,2200,463,0,99,258,49,2163,8987
"1599725978","50","","Aggregated",10.40,0.00,160,470,730,810,1200,1400,2100,2200,2200,2200,2200,2200,501,0,98,257,49,2163,9042
"1599725983","50","","Aggregated",9.30,0.00,110,180,260,410,690,890,920,1000,1200,1200,1200,1200,552,0,98,250,49,2163,9077
"1599725988","50","","Aggregated",9.30,0.00,110,160,180,220,610,820,1100,1200,1200,1200,1200,1200,595,0,100,249,49,2163,9094
"1599725993","50","","Aggregated",8.70,0.00,140,230,520,660,1100,1400,3200,3300,3300,3300,3300,3300,645,0,100,269,49,3282,9130
"1599725998","50","","Aggregated",9.60,0.00,100,140,200,250,790,1300,1900,3200,3300,3300,3300,3300,699,0,100,256,49,3282,9150
"1599726003","50","","Aggregated",10.90,0.00,95,130,150,160,200,590,1000,1000,1100,1100,1100,1100,753,0,100,252,49,3282,9162
"1599726008","50","","Aggregated",9.60,0.00,110,150,170,190,530,790,1000,1100,1100,1100,1100,1100,789,0,100,249,49,3282,9191
"1599726013","50","","Aggregated",9.10,0.00,86,100,130,140,190,220,530,730,1000,1000,1000,1000,848,0,98,238,49,3282,9176
"1599726018","50","","Aggregated",10.50,0.00,89,100,120,130,170,210,230,270,400,400,400,400,893,0,98,232,49,3282,9207
"1599726023","50","","Aggregated",9.60,0.00,98,120,130,150,180,230,270,400,400,400,400,400,944,0,98,225,49,3282,9214
"1599726028","50","","Aggregated",9.00,0.00,87,110,120,140,170,210,250,270,300,300,300,300,995,0,97,219,49,3282,9198
"1599726033","50","","Aggregated",10.70,0.00,83,110,150,160,200,220,270,300,300,300,300,300,1039,0,97,214,49,3282,9232
"1599726038","50","","Aggregated",9.90,0.00,100,150,170,180,210,220,240,270,270,270,270,270,1092,0,97,210,49,3282,9278
"1599726043","50","","Aggregated",9.50,0.00,140,180,200,210,240,280,360,420,490,490,490,490,1143,0,99,209,49,3282,9341
"1599726048","50","","Aggregated",10.60,0.00,140,170,200,210,260,340,420,490,490,490,490,490,1193,0,100,205,49,3282,9364
"1599726054","50","","Aggregated",9.60,0.00,110,140,160,180,240,280,340,340,340,340,340,340,1231,0,100,203,49,3282,9366
"1599726059","50","","Aggregated",8.10,0.00,110,150,190,210,340,800,820,850,850,850,850,850,1278,0,100,203,49,3282,9389
"1599726064","50","","Aggregated",8.60,0.00,99,140,160,170,260,770,820,850,850,850,850,850,1332,0,99,199,49,3282,9425
"1599726069","50","","Aggregated",9.80,0.00,110,160,200,360,650,1200,1500,2400,2400,2400,2400,2400,1381,0,100,206,49,3282,9428
"1599726074","50","","Aggregated",10.10,0.00,130,170,350,450,830,1300,1500,2400,2400,2400,2400,2400,1423,0,100,203,49,3282,9450
"1599726079","50","","Aggregated",9.40,0.00,100,150,170,180,260,660,1000,1200,1200,1200,1200,1200,1478,0,100,203,49,3282,9480
"1599726084","50","","Aggregated",9.60,0.00,100,160,180,190,610,740,880,1000,1000,1000,1000,1000,1521,0,100,203,49,3282,9488
"1599726089","50","","Aggregated",11.40,0.00,84,100,110,130,160,180,190,200,200,200,200,200,1573,0,100,199,49,3282,9501
"1599726094","50","","Aggregated",10.30,0.00,78,89,110,130,160,180,190,200,200,200,200,200,1623,0,98,196,49,3282,9489
"1599726099","50","","Aggregated",9.20,0.00,82,94,110,110,150,170,200,230,230,230,230,230,1667,0,98,193,49,3282,9488
"1599726101","0","","Aggregated",9.30,0.00,88,110,120,150,170,200,310,380,380,380,380,380,1692,0,98,192,49,3282,9486
