,Unnamed: 0,cartservice_redis-cart,checkoutservice_cartservice,checkoutservice_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,checkoutservice_shippingservice,frontend_adservice,frontend_cartservice,frontend_checkoutservice,frontend_currencyservice,frontend_productcatalogservice,frontend_recommendationservice,frontend_shippingservice,recommendationservice_productcatalogservice,unknown_frontend
0,0,0.2962,5.384615384615384,5.0,5.0,5.0,5.0,5.0,5.097567873303168,5.835913312693498,58.33333333333334,5.065812244438005,5.021820448877805,6.408755533694048,5.0,5.0,21.205882352941178
1,2,0.2962,5.384615384615384,5.0,5.0,5.0,5.0,5.0,5.097567873303168,5.835913312693498,58.33333333333334,5.065812244438005,5.021820448877805,6.408755533694048,5.0,5.0,21.205882352941178
2,4,0.2962,5.384615384615384,5.0,5.0,5.0,5.0,5.0,5.097567873303168,5.835913312693498,58.33333333333334,5.065812244438005,5.021820448877805,6.408755533694048,5.0,5.0,21.205882352941178
3,6,0.38755000000000006,5.384615384615384,5.0,5.0,5.0,5.0,5.0,5.0,5.067595341402146,46.25,5.0,5.012424674658632,5.480654761904762,5.0,5.0,18.30097087378641
4,8,0.44236000000000003,5.384615384615384,5.0,5.0,5.0,5.0,5.0,5.0,5.067595341402146,46.25,5.0,5.012424674658632,5.480654761904762,5.0,5.0,18.30097087378641
5,10,0.47890000000000005,5.384615384615384,5.0,5.0,5.0,5.0,5.0,5.0,5.067595341402146,46.25,5.0,5.012424674658632,5.480654761904762,5.0,5.0,18.30097087378641
6,12,0.4528095238095239,5.147058823529412,5.185185185185186,5.0,5.0,5.0,5.0,5.0,5.016666666666667,75.0,5.005112474437627,5.032893284628914,5.245005531333376,5.0,5.0,16.893382352941178
7,14,0.4332416666666667,5.147058823529412,5.185185185185186,5.0,5.0,5.0,5.0,5.0,5.016666666666667,75.0,5.005112474437627,5.032893284628914,5.245005531333376,5.0,5.0,16.893382352941178
8,16,0.4180222222222223,5.147058823529412,5.185185185185186,5.0,5.0,5.0,5.0,5.0,5.016666666666667,75.0,5.005112474437627,5.032893284628914,5.245005531333376,5.0,5.0,16.893382352941178
9,18,0.44556,5.0,5.0,5.0,5.0,5.0,5.131578947368421,5.0,5.0,50.0,5.0,5.0,5.590984057174272,5.0,5.0,18.236607142857142
10,20,0.4680909090909091,5.0,5.0,5.0,5.0,5.0,5.131578947368421,5.0,5.0,50.0,5.0,5.0,5.590984057174272,5.0,5.0,18.236607142857142
11,22,0.4868666666666667,5.0,5.0,5.0,5.0,5.0,5.131578947368421,5.0,5.0,50.0,5.0,5.0,5.590984057174272,5.0,5.0,18.236607142857142
12,24,0.49082777777777786,5.0,5.0,5.0,5.0,5.0,5.0,5.046728971962617,5.079825834542816,42.5,5.005307855626327,5.016494018991244,5.4485409560933356,5.0,5.0,18.062500000000004
13,26,0.49478888888888894,5.0,5.0,5.0,5.0,5.0,5.0,5.046728971962617,5.079825834542816,42.5,5.005307855626327,5.016494018991244,5.4485409560933356,5.0,5.0,18.062500000000004
14,28,0.49875,5.0,5.0,5.0,5.0,5.0,5.0,5.046728971962617,5.079825834542816,42.5,5.005307855626327,5.016494018991244,5.4485409560933356,5.0,5.0,18.062500000000004
15,30,0.5000944444444445,5.0,5.0,5.0,5.0,5.0,5.0,5.0778565292096225,5.488721804511277,87.5,5.112051050372713,5.035523694800738,5.883110976349302,5.0,5.0,18.53960396039604
16,32,0.501438888888889,5.0,5.0,5.0,5.0,5.0,5.0,5.0778565292096225,5.488721804511277,87.5,5.112051050372713,5.035523694800738,5.883110976349302,5.0,5.0,18.53960396039604
17,34,0.5027833333333334,5.0,5.0,5.0,5.0,5.0,5.0,5.0778565292096225,5.488721804511277,87.5,5.112051050372713,5.035523694800738,5.883110976349302,5.0,5.0,18.53960396039604
18,36,0.501338888888889,6.2934782608695645,5.0625,5.0,5.0,5.0,5.0,5.54448654298406,5.909430063708891,94.375,5.12263599142133,5.1051919019020495,6.485602688709238,5.0,5.0,19.86842105263158
19,38,0.4998944444444446,6.2934782608695645,5.0625,5.0,5.0,5.0,5.0,5.54448654298406,5.909430063708891,94.375,5.12263599142133,5.1051919019020495,6.485602688709238,5.0,5.0,19.86842105263158
20,40,0.4984500000000003,6.2934782608695645,5.0625,5.0,5.0,5.0,5.0,5.54448654298406,5.909430063708891,94.375,5.12263599142133,5.1051919019020495,6.485602688709238,5.0,5.0,19.86842105263158
21,42,0.5029611111111113,5.0,5.0,5.0,5.0,5.0,5.0,5.051546391752577,5.116787354291771,42.5,5.0,5.034955486372823,6.321353065539113,5.0,5.0,36.8421052631579
22,44,0.5074722222222223,5.0,5.0,5.0,5.0,5.0,5.0,5.051546391752577,5.116787354291771,42.5,5.0,5.034955486372823,6.321353065539113,5.0,5.0,36.8421052631579
23,46,0.5119833333333336,5.0,5.0,5.0,5.0,5.0,5.0,5.051546391752577,5.116787354291771,42.5,5.0,5.034955486372823,6.321353065539113,5.0,5.0,36.8421052631579
24,48,0.5083777777777779,6.25,5.0,5.0,5.0,5.0,5.0,5.0957002902757615,5.6883487789240545,91.66666666666669,5.018796992481203,5.003045066991474,377.95238095238096,5.0,5.0,321.9026548672566
25,50,0.5047722222222224,6.25,5.0,5.0,5.0,5.0,5.0,5.0957002902757615,5.6883487789240545,91.66666666666669,5.018796992481203,5.003045066991474,377.95238095238096,5.0,5.0,321.9026548672566
26,52,0.5011666666666668,6.25,5.0,5.0,5.0,5.0,5.0,5.0957002902757615,5.6883487789240545,91.66666666666669,5.018796992481203,5.003045066991474,377.95238095238096,5.0,5.0,321.9026548672566
27,54,0.5044333333333335,5.0,5.0,5.0,5.0,5.0,5.0,5.163796087934915,5.984804490902052,62.5,5.073397177180029,5.048872180451128,379.04411764705884,5.0,5.0,325.24271844660194
28,56,0.5077,5.0,5.0,5.0,5.0,5.0,5.0,5.163796087934915,5.984804490902052,62.5,5.073397177180029,5.048872180451128,379.04411764705884,5.0,5.0,325.24271844660194
29,58,0.5109666666666668,5.0,5.0,5.0,5.0,5.0,5.0,5.163796087934915,5.984804490902052,62.5,5.073397177180029,5.048872180451128,379.04411764705884,5.0,5.0,325.24271844660194
30,60,0.5150555555555556,6.000000000000001,5.0,5.0,5.0,5.0,5.0,5.15,5.441331923890063,50.0,5.05760159651669,5.023065458179593,378.2183908045977,5.0,5.0225225225225225,316.58878504672896
