,cartservice_redis-cart
0,0.0018666666666666666
1,0.0018666666666666666
2,0.0018666666666666666
3,0.0016333333333333334
4,0.0014933333333333333
5,0.0014
6,0.001657142857142857
7,0.0018499999999999999
8,0.002
9,0.00404
10,0.0057090909090909085
11,0.0070999999999999995
12,0.0070999999999999995
13,0.0070999999999999995
14,0.0070999999999999995
15,0.0070999999999999995
16,0.0070999999999999995
17,0.0070999999999999995
18,0.006988888888888889
19,0.006877777777777779
20,0.006766666666666668
21,0.006766666666666668
22,0.006766666666666668
23,0.006766666666666668
24,0.006766666666666668
25,0.006766666666666668
26,0.006766666666666668
27,0.006766666666666668
28,0.006766666666666668
29,0.006766666666666668
30,0.006766666666666668
