,cartservice_redis-cart
0,0.0224
1,0.012133333333333333
2,0.00871111111111111
3,0.006999999999999999
4,0.0057866666666666665
5,0.004977777777777778
6,0.0044
7,0.00425
8,0.0041333333333333335
9,0.00404
10,0.00570909090909091
11,0.007100000000000001
12,0.007100000000000001
13,0.007100000000000001
14,0.007100000000000001
15,0.007100000000000001
16,0.007100000000000001
17,0.007100000000000001
18,0.007100000000000001
19,0.006988888888888891
20,0.00687777777777778
21,0.00676666666666667
22,0.00676666666666667
23,0.00676666666666667
24,0.00676666666666667
25,0.00676666666666667
26,0.00676666666666667
27,0.00676666666666667
28,0.00676666666666667
29,0.00676666666666667
30,0.00676666666666667
