,source,destination
0,cartservice,redis-cart
1,frontend,currencyservice
2,checkoutservice,paymentservice
3,frontend,cartservice
4,checkoutservice,currencyservice
5,checkoutservice,productcatalogservice
6,frontend,productcatalogservice
7,frontend,recommendationservice
8,checkoutservice,shippingservice
9,checkoutservice,cartservice
10,unknown,frontend
11,recommendationservice,productcatalogservice
12,frontend,adservice
13,frontend,checkoutservice
14,checkoutservice,emailservice
15,frontend,shippingservice
