,cartservice_redis-cart
0,0.0018666666666666666
1,0.0018666666666666666
2,0.0018666666666666666
3,0.0016333333333333334
4,0.0014933333333333333
5,0.0014
6,0.0014666666666666667
7,0.0015166666666666666
8,0.0015555555555555555
9,0.00364
10,0.005345454545454546
11,0.006766666666666667
12,0.006766666666666667
13,0.006766666666666667
14,0.006766666666666667
15,0.006766666666666667
16,0.006766666666666667
17,0.006766666666666667
18,0.006766666666666667
19,0.006766666666666667
20,0.006766666666666667
21,0.006766666666666667
22,0.006766666666666667
23,0.006766666666666667
24,0.006766666666666667
25,0.006766666666666667
26,0.006766666666666667
27,0.006766666666666667
28,0.006766666666666667
29,0.006766666666666667
30,0.006877777777777778
