,source,destination
0,cartservice,redis-cart
1,checkoutservice,paymentservice
2,recommendationservice,productcatalogservice
3,frontend,cartservice
4,checkoutservice,shippingservice
5,frontend,checkoutservice
6,checkoutservice,emailservice
7,checkoutservice,productcatalogservice
8,frontend,productcatalogservice
9,frontend,adservice
10,checkoutservice,cartservice
11,unknown,frontend
12,frontend,recommendationservice
13,frontend,shippingservice
14,checkoutservice,currencyservice
15,frontend,currencyservice
